序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2,301060,兰卫医学,13.48,20.04,2.25,210888.0,260025700.77,20.12,13.48,11.22,11.22,11.23,7.73,11.73,-4601.0,2.79,5398969160.0,2423561543.0,0.0,0.0,0.15,1.43
3,300133,华策影视,7.68,20.0,1.28,1406907.0,1041615699.81,12.34,7.68,6.89,6.89,6.4,3.66,8.64,33.46,2.08,14600246024.0,12505117448.0,0.0,0.0,13.78,30.83
8,300913,兆龙互连,44.89,13.53,5.35,325111.0,1424678387.68,14.8,47.0,41.15,41.5,39.54,5.02,15.42,123.88,11.15,11589231010.0,9465633247.0,0.65,1.33,47.13,49.48
9,300725,药石科技,41.65,12.81,4.73,180275.0,708285615.33,16.58,42.3,36.18,36.62,36.92,3.43,10.7,40.49,3.1,8316032006.0,7016079737.0,-0.34,-1.02,7.4,6.06
11,300271,华宇软件,7.52,11.57,0.78,389149.0,281067968.72,14.39,7.66,6.69,6.7,6.74,6.05,4.85,-17.29,1.14,6138391557.0,6029021286.0,0.67,0.27,-11.53,-8.18
12,301230,泓博医药,52.8,10.69,5.1,135952.0,664422101.73,20.59,54.99,45.17,46.8,47.7,2.76,22.9,92.78,5.05,5682476765.0,3134823965.0,-2.85,-2.53,49.49,47.49
13,301217,铜冠铜箔,11.76,10.32,1.1,145488.0,171680887.44,19.79,12.72,10.61,10.62,10.66,7.82,6.35,1250.93,1.75,9749222797.0,2693222797.0,0.26,-0.17,2.44,-0.84
18,300785,值得买,23.27,7.83,1.69,150847.0,343844866.68,14.27,24.18,21.1,21.2,21.58,5.12,13.25,246.8,2.57,4627361505.0,2648427952.0,-1.02,-0.77,-0.13,6.45
19,300634,彩讯股份,21.42,7.8,1.55,441098.0,928470233.2,11.83,22.05,19.7,19.7,19.87,4.66,10.23,23.45,3.7,9588732615.0,9238194315.0,-0.46,0.0,-1.02,4.64
26,300075,数字政通,16.6,6.41,1.0,368178.0,602533324.34,8.01,16.8,15.55,15.6,15.6,4.84,7.16,42.4,2.51,10310760623.0,8538886052.0,0.0,-0.36,-9.83,-5.68
27,300288,朗玛信息,17.17,6.12,0.99,365861.0,611661871.83,10.63,17.58,15.86,15.95,16.18,3.44,14.29,70.96,3.64,5802453872.0,4396360746.0,-0.98,-1.55,-3.81,4.38
28,300429,强力新材,11.83,6.0,0.67,488432.0,567530092.01,9.14,12.07,11.05,11.15,11.16,4.16,13.02,-221.75,3.58,6095551436.0,4437581218.0,0.08,0.68,-6.78,-8.01
30,300781,因赛集团,64.63,5.95,3.63,165416.0,1055798115.76,13.38,66.66,58.5,59.18,61.0,1.88,20.4,162.42,10.47,7107347657.0,5241763477.0,-0.05,-1.03,18.39,43.62
34,300168,万达信息,7.57,5.43,0.39,252496.0,187574470.41,7.1,7.66,7.15,7.15,7.18,3.35,1.85,-24.27,3.78,10924963372.0,10305236806.0,-0.39,-0.13,-14.37,-10.73
35,301328,维峰电子,46.46,5.42,2.39,30794.0,141899795.08,9.3,48.58,44.48,44.8,44.07,2.75,9.02,37.77,2.69,5105656377.0,1585858253.0,-0.87,-0.94,-6.27,-5.11
37,301091,深城交,28.98,5.38,1.48,171142.0,493771370.06,9.78,30.17,27.48,27.48,27.5,2.8,11.55,129.68,4.26,9041760000.0,4294836000.0,0.24,0.21,10.65,26.27
39,300252,金信诺,9.14,5.18,0.45,761077.0,692287347.62,5.98,9.38,8.86,8.94,8.69,5.43,14.27,866.04,2.51,6052086043.0,4873871228.0,0.0,-0.44,0.66,-0.98
42,300229,拓尔思,18.17,5.09,0.88,550552.0,1005370004.94,8.79,18.73,17.21,17.21,17.29,3.1,6.93,474.02,4.33,14450454750.0,14439340179.0,0.06,-0.06,-1.94,7.77
43,300251,光线传媒,9.93,5.08,0.48,457333.0,451380788.23,7.3,10.13,9.44,9.44,9.45,4.12,1.64,59.29,3.43,29130731730.0,27677127905.0,-0.3,-0.2,19.06,21.84
44,301508,中机认检,39.69,5.06,1.91,87733.0,346684882.95,6.27,40.68,38.31,38.5,37.78,3.64,20.43,62.35,4.72,8973321588.0,1704827868.0,-0.38,-0.78,3.68,15.34
45,300552,万集科技,26.93,5.03,1.29,310084.0,823959913.4,13.14,27.99,24.62,25.0,25.64,5.64,24.63,-21.85,2.29,5739674706.0,3390008508.0,0.07,0.49,-10.71,-9.02
46,301123,奕东电子,19.9,4.96,0.94,100418.0,195961201.07,9.49,20.5,18.7,19.49,18.96,6.81,13.14,312.33,1.55,4648640000.0,1520682639.0,-0.65,-0.85,-12.14,-15.17
49,300291,百纳千成,6.11,4.8,0.28,543880.0,331566133.0,7.38,6.23,5.8,5.84,5.83,3.55,5.86,-136.98,1.52,5754945768.0,5674682168.0,-0.33,-0.49,-15.72,-5.12
51,300413,芒果超媒,26.15,4.64,1.16,254628.0,656124599.92,5.2,26.29,24.99,24.99,24.99,3.03,2.49,13.75,2.28,48919349312.0,26717453902.0,0.19,0.23,-8.37,3.77
53,300244,迪安诊断,20.26,4.59,0.89,168350.0,331688507.32,8.42,20.6,18.97,19.44,19.37,3.54,3.35,17.94,1.62,12700954209.0,10188708739.0,-1.17,-1.55,-17.71,-14.91
58,300341,麦克奥迪,10.82,4.34,0.45,101587.0,107698635.0,6.17,10.89,10.25,10.26,10.37,2.68,1.97,34.07,3.31,5598379836.0,5591496693.0,-0.37,0.19,-6.8,-8.31
59,301262,海看股份,30.76,4.31,1.27,86838.0,265947494.97,8.04,31.47,29.1,29.2,29.49,3.49,20.82,33.71,3.51,12826920000.0,1282692000.0,0.42,0.29,-9.16,-1.25
61,301439,泓淋电力,14.6,4.14,0.58,102739.0,149237068.05,6.85,15.04,14.08,14.21,14.02,7.11,5.61,27.28,2.07,5680886411.0,2675405090.0,-1.15,-1.35,1.6,-0.14
65,300182,捷成股份,5.49,3.98,0.21,1601688.0,881931036.15,6.06,5.6,5.28,5.29,5.28,2.56,7.15,25.39,1.85,14624402720.0,12292557583.0,0.18,0.0,-4.19,8.07
68,300290,荣科科技,10.01,3.95,0.38,842812.0,837909393.33,9.66,10.43,9.5,9.6,9.63,2.02,13.18,588.21,7.82,6403723016.0,6398655453.0,-1.18,-0.99,60.42,64.37
72,300740,水羊股份,17.96,3.82,0.66,42424.0,74491623.53,4.74,17.98,17.16,17.16,17.3,1.76,1.19,29.07,3.72,6978522208.0,6417072637.0,0.62,0.67,10.52,7.74
76,300206,理邦仪器,13.75,3.77,0.5,342060.0,449690590.03,12.45,14.16,12.51,12.7,13.25,3.76,10.05,25.33,4.04,7998675383.0,4681023394.0,-1.29,-1.5,33.11,34.67
78,301486,致尚科技,43.88,3.69,1.56,66337.0,291708271.22,4.49,44.9,43.0,43.5,42.32,3.37,20.62,74.46,2.26,5646522061.0,1411632764.0,-0.61,-0.88,1.98,-8.45
79,300322,硕贝德,10.47,3.66,0.37,391357.0,407199817.36,6.53,10.68,10.02,10.04,10.1,3.34,8.82,-23.48,4.53,4876365091.0,4643906853.0,0.0,0.19,-2.51,-6.18
80,300058,蓝色光标,7.67,3.65,0.27,1010333.0,770411244.32,5.0,7.74,7.37,7.37,7.4,3.05,4.38,49.7,2.46,19079422090.0,17673146113.0,-0.13,-0.26,-7.48,6.82
82,301421,波长光电,54.7,3.62,1.91,48791.0,262316722.99,8.66,56.5,51.93,53.0,52.79,3.39,16.87,111.33,5.4,6329774600.0,1582471000.0,-0.36,-0.38,-11.56,-12.38
84,300451,创业慧康,5.17,3.61,0.18,319745.0,163145842.08,4.81,5.21,4.97,5.01,4.99,2.3,2.38,65.73,1.71,8008974658.0,6936326928.0,-0.39,-0.58,-25.82,-21.07
85,300604,长川科技,33.09,3.6,1.15,142572.0,474971670.24,6.64,34.18,32.06,32.11,31.94,2.57,3.16,11666.85,7.27,20622692282.0,14927072888.0,-0.06,-0.42,-18.32,-12.9
87,301408,华人健康,13.34,3.49,0.45,46638.0,61731694.12,5.59,13.5,12.78,12.83,12.89,4.28,3.13,45.47,2.78,5336133400.0,1989945182.0,-0.45,-0.37,-16.42,-16.36
89,300825,阿尔特,14.99,3.45,0.5,315566.0,477740625.37,6.42,15.65,14.72,14.95,14.49,2.89,6.63,169.18,3.12,7465626810.0,7132719851.0,-0.27,0.0,5.64,9.02
93,300559,佳发教育,14.0,3.4,0.46,103080.0,144637225.16,6.13,14.3,13.47,13.47,13.54,1.68,3.31,36.21,4.78,5593203938.0,4355915662.0,0.07,0.07,-17.79,-9.68
94,301489,思泉新材,84.6,3.35,2.74,33979.0,279794373.44,8.39,85.88,79.01,80.34,81.86,2.05,24.85,97.32,4.98,4879840856.0,1156912699.0,0.12,0.02,13.27,11.9
95,300020,银江技术,7.42,3.34,0.24,281678.0,206445564.92,5.15,7.51,7.14,7.15,7.18,2.34,3.67,41.2,1.29,5896510567.0,5688465713.0,-0.4,-0.54,-13.62,-10.6
98,300253,卫宁健康,7.88,3.28,0.25,453613.0,353682699.97,5.64,7.99,7.56,7.58,7.63,2.79,2.45,83.5,3.24,16960190767.0,14603051206.0,-0.38,-1.25,6.06,9.6
112,300057,万顺新材,5.18,2.98,0.15,149735.0,77662810.39,5.17,5.28,5.02,5.03,5.03,3.73,2.03,231.83,0.86,4713832049.0,3823866738.0,-0.19,0.0,-12.5,-16.05
114,300846,首都在线,13.55,2.96,0.39,230902.0,312529266.08,5.09,13.8,13.13,13.13,13.16,3.1,6.48,-32.3,5.9,6325449428.0,4829565823.0,-0.15,-0.22,-8.57,-5.18
118,300770,新媒股份,41.86,2.85,1.16,29188.0,121138581.77,4.4,42.15,40.36,40.5,40.7,2.2,1.26,13.67,2.63,9672093992.0,9672093992.0,-0.07,-0.33,-0.62,8.22
122,301316,慧博云通,21.16,2.82,0.58,82201.0,172317010.58,5.05,21.34,20.3,20.42,20.58,2.45,3.39,102.68,8.29,8464211600.0,5138208803.0,-0.05,-0.09,-14.99,-8.95
128,300363,博腾股份,20.6,2.74,0.55,81078.0,165157690.57,5.19,20.95,19.91,20.15,20.05,1.46,1.62,18.67,1.89,11248379092.0,10308313727.0,-0.34,-0.58,-18.29,-18.09
129,301517,陕西华达,55.91,2.74,1.49,35115.0,196094374.59,7.37,57.42,53.41,53.78,54.42,2.93,16.57,73.31,4.61,6039772797.0,1185022905.0,-0.09,-0.16,1.62,0.02
131,300411,金盾股份,11.34,2.72,0.3,422484.0,480693131.54,8.24,11.76,10.85,10.96,11.04,1.46,15.63,158.36,4.94,4609936879.0,3064461396.0,1.52,1.07,68.75,62.23
132,301370,国科恒泰,14.79,2.71,0.39,45152.0,66088327.08,5.42,14.96,14.18,14.23,14.4,2.72,6.4,57.36,2.91,6960174000.0,1044174000.0,-0.87,-0.27,-11.01,-8.59
133,300548,博创科技,32.4,2.69,0.85,297674.0,957565601.98,5.99,32.88,30.99,31.0,31.55,2.82,13.41,57.02,4.26,9285280711.0,7190864942.0,-0.31,-0.31,12.27,20.13
136,300364,中文在线,28.99,2.66,0.75,705344.0,2040504566.6,5.91,29.32,27.65,27.77,28.24,1.7,10.69,6513.41,17.99,21160949526.0,19127475836.0,-0.28,-0.17,6.82,12.67
141,300676,华大基因,45.86,2.48,1.11,43581.0,198027061.48,5.97,46.76,44.09,44.59,44.75,3.46,1.06,208.11,1.92,18982110945.0,18845119970.0,-0.48,-1.06,-4.46,-4.46
143,300446,航天智造,15.85,2.46,0.38,75751.0,119467296.06,3.56,15.97,15.42,15.61,15.47,0.93,5.59,31.65,2.96,13399750259.0,2147012581.0,-0.13,-0.25,1.47,1.15
145,301358,湖南裕能,30.69,2.44,0.73,62916.0,193962744.8,4.14,31.24,30.0,30.0,29.96,2.07,1.64,11.31,2.07,23240096718.0,11767563251.0,-0.07,-0.1,-7.42,-9.6
156,301102,兆讯传媒,16.02,2.23,0.35,17620.0,28057008.19,3.83,16.15,15.55,15.7,15.67,1.72,2.48,28.91,1.55,4645800000.0,1139607291.0,-0.12,-0.19,-20.69,-16.3
159,300087,荃银高科,8.35,2.2,0.18,179851.0,150853396.53,3.92,8.59,8.27,8.35,8.17,3.56,2.01,28.77,4.05,7910220121.0,7480807301.0,-0.24,-0.36,-3.02,-0.36
163,300663,科蓝软件,12.62,2.19,0.27,285553.0,355844660.06,5.67,12.83,12.13,12.3,12.35,3.02,7.08,-494.09,5.19,5832751290.0,5091179343.0,-0.32,-0.47,-13.38,-10.75
164,301029,怡合达,29.55,2.18,0.63,94253.0,276107462.14,3.94,29.76,28.62,28.75,28.92,1.83,3.16,28.35,5.71,17071275182.0,8804401549.0,0.27,0.2,22.06,14.62
165,300395,菲利华,32.55,2.17,0.69,44618.0,144968495.56,4.49,32.96,31.53,31.7,31.86,1.72,0.87,30.93,4.54,16920237771.0,16646173639.0,0.06,0.0,-14.57,-10.97
167,300806,斯迪克,10.47,2.15,0.22,90893.0,94795456.04,4.39,10.6,10.15,10.18,10.25,2.25,3.4,42.21,2.12,4746056266.0,2795328479.0,-0.1,-0.38,-23.35,-25.59
170,300027,华谊兄弟,2.42,2.11,0.05,520222.0,125966050.69,4.64,2.46,2.35,2.35,2.37,2.03,2.15,-17.87,6.59,6714304324.0,5850984749.0,0.0,-0.41,-13.57,-9.7
173,300293,蓝英装备,17.1,2.09,0.35,275647.0,466376551.56,7.16,17.52,16.32,16.5,16.75,2.99,9.83,-965.56,6.63,5787291613.0,4793744181.0,-0.58,0.0,18.83,16.33
176,300887,谱尼测试,9.42,2.06,0.19,53840.0,50311649.78,3.25,9.5,9.2,9.24,9.23,1.52,1.49,36.61,1.48,5144097141.0,3410741564.0,0.0,-0.21,-24.58,-20.24
178,300888,稳健医疗,36.88,2.05,0.74,17263.0,63273437.42,2.38,36.99,36.13,36.14,36.14,2.32,0.95,7.58,1.66,21696235071.0,6696993321.0,0.41,0.03,1.63,-0.99
182,300217,东方电热,5.02,2.03,0.1,172685.0,86357774.36,3.46,5.07,4.9,4.93,4.92,1.43,1.41,9.51,1.93,7419444239.0,6159296590.0,0.2,0.0,-7.38,-6.69
183,300953,震裕科技,60.37,2.03,1.2,9454.0,56613742.55,3.28,60.79,58.85,59.01,59.17,1.3,1.55,84.86,2.53,6205000655.0,3693904468.0,0.13,0.03,15.96,9.41
184,300981,中红医疗,12.69,2.01,0.25,54351.0,68155970.55,7.32,13.09,12.18,12.4,12.44,3.52,4.42,403.59,0.84,4949198982.0,1558917009.0,-0.31,-0.94,-18.29,-20.79
190,300180,华峰超纤,3.63,1.97,0.07,167040.0,60207438.76,2.25,3.64,3.56,3.58,3.56,1.73,1.13,-191.1,1.35,6392648363.0,5353110877.0,0.28,0.28,-18.43,-17.87
191,300975,商络电子,10.9,1.96,0.21,421063.0,463886956.54,4.96,11.28,10.75,10.9,10.69,1.15,12.99,155.87,3.98,6871453173.0,3532717773.0,0.09,0.09,39.74,31.8
200,300459,汤姆猫,4.81,1.91,0.09,975237.0,469562424.67,3.39,4.87,4.71,4.73,4.72,1.4,3.19,63.28,4.16,16911050617.0,14724702096.0,-0.21,-0.21,-14.87,-2.63
204,300267,尔康制药,2.69,1.89,0.05,160051.0,42661022.0,3.41,2.71,2.62,2.63,2.64,1.91,1.13,103.84,1.09,5548407100.0,3826247502.0,-0.37,-0.37,-17.48,-16.2
208,300773,拉卡拉,14.64,1.88,0.27,75441.0,109770999.75,2.51,14.68,14.32,14.32,14.37,1.6,1.03,14.13,2.99,11712292800.0,10750670446.0,-0.07,-0.07,-9.8,-8.73
213,301251,威尔高,35.09,1.83,0.63,49586.0,172690351.7,5.66,35.61,33.66,33.8,34.46,2.51,14.73,46.08,3.33,4723877558.0,1180969390.0,-0.2,0.06,-1.98,-2.12
217,301171,易点天下,19.3,1.79,0.34,176626.0,341917825.58,3.9,19.54,18.8,18.83,18.96,1.88,5.72,37.78,2.7,9107397967.0,5959357983.0,-0.26,-0.46,-11.14,-2.38
219,301303,真兰仪表,17.69,1.78,0.31,18291.0,32608409.87,3.68,18.19,17.55,18.19,17.38,3.26,2.51,20.28,1.75,5165480000.0,1291370000.0,-0.06,0.0,-8.2,-10.16
222,300454,深信服,73.7,1.77,1.28,101047.0,766844440.85,7.15,78.88,73.7,75.0,72.42,2.3,3.66,-42.54,3.98,30942813519.0,20360339816.0,-0.59,-1.05,-2.63,1.95
228,300123,亚光科技,6.41,1.75,0.11,277607.0,178198523.94,4.13,6.52,6.26,6.32,6.3,2.64,2.78,962.43,2.36,6549956728.0,6412396173.0,-0.47,-0.31,-12.79,-12.55
231,300143,盈康生命,8.86,1.72,0.15,29258.0,25659205.69,2.99,8.92,8.66,8.72,8.71,1.86,0.46,45.37,4.15,5689599709.0,5689492556.0,-0.23,-0.11,-15.38,-16.65
241,300869,康泰医学,18.17,1.68,0.3,24804.0,44789785.97,2.8,18.27,17.77,17.89,17.87,2.55,0.99,28.06,3.57,7300754532.0,4549884978.0,-0.11,-0.22,-10.98,-11.92
242,301376,致欧科技,24.55,1.66,0.4,7703.0,18906564.32,3.64,24.85,23.97,23.97,24.15,1.13,2.16,25.81,3.29,9856825000.0,875735251.0,0.2,0.08,-2.58,2.63
245,301348,蓝箭电子,37.71,1.64,0.61,41117.0,154681917.78,3.77,38.2,36.8,37.1,37.1,2.5,8.22,115.98,4.84,7542000000.0,1885500000.0,-0.13,-0.11,-15.9,-18.71
246,300579,数字认证,23.61,1.64,0.38,22132.0,52027301.5,2.24,23.7,23.18,23.3,23.23,2.06,0.85,-242.68,6.89,6374700000.0,6182772823.0,-0.04,0.17,-11.74,-8.7
248,300377,赢时胜,6.93,1.61,0.11,85421.0,58944244.0,2.79,6.97,6.78,6.8,6.82,1.5,1.27,446.09,1.77,5205574004.0,4654527619.0,-0.29,-0.43,-19.32,-10.7
251,300679,电连技术,41.65,1.61,0.66,63651.0,269139070.27,6.05,43.85,41.37,42.2,40.99,4.5,1.79,53.33,4.05,17592331085.0,14827215407.0,0.12,-0.38,6.01,0.36
253,300085,银之杰,12.16,1.59,0.19,85036.0,103175347.5,3.01,12.28,11.92,11.95,11.97,1.39,1.66,-118.85,11.67,8592748906.0,6232531477.0,-0.25,-0.33,-23.62,-15.08
258,301238,瑞泰新材,16.78,1.57,0.26,61338.0,103336557.82,4.96,17.3,16.48,16.53,16.52,2.5,2.88,24.81,1.7,12305332774.0,3579732774.0,-0.12,-0.06,-0.06,-4.28
264,300079,数码视讯,5.26,1.54,0.08,158439.0,83066933.5,1.93,5.27,5.17,5.17,5.18,1.2,1.25,159.42,1.77,7516586614.0,6675241167.0,0.19,0.0,-9.15,-7.56
265,300226,上海钢联,24.35,1.54,0.37,67755.0,165410282.89,3.29,24.65,23.86,23.93,23.98,1.49,2.19,35.21,4.06,7836353915.0,7536753438.0,-0.12,-0.16,-16.75,-14.53
269,300698,万马科技,34.78,1.49,0.51,33865.0,118375086.46,7.94,36.51,33.79,35.0,34.27,5.25,2.74,72.3,9.88,4660520000.0,4297797398.0,1.13,1.55,-0.2,-4.71
272,300639,凯普生物,7.55,1.48,0.11,38246.0,28624421.27,2.82,7.6,7.39,7.47,7.44,2.12,0.6,21.27,1.0,4881080089.0,4795491001.0,0.0,-0.26,-20.36,-19.16
273,300545,联得装备,28.85,1.48,0.42,38137.0,111167732.5,4.15,29.66,28.48,28.57,28.43,2.17,3.41,30.11,3.26,5128037849.0,3229197464.0,-0.28,-0.24,-6.63,-16.5
274,301333,诺思格,55.0,1.48,0.8,10435.0,56816480.6,3.3,55.4,53.61,53.9,54.2,0.81,1.84,31.46,3.11,5280000000.0,3120216000.0,-0.36,-0.54,-12.42,-14.7
284,300678,中科信息,36.39,1.42,0.51,77207.0,278609664.9,2.42,36.5,35.63,35.8,35.88,1.14,2.72,265.0,12.45,10785497202.0,10335140094.0,0.39,0.22,11.18,21.38
288,300788,中信出版,30.87,1.38,0.42,43884.0,136227967.0,4.07,31.44,30.2,30.3,30.45,1.54,2.31,50.45,2.79,5869977268.0,5869977268.0,-0.19,-0.26,-6.62,6.08
292,300468,四方精创,9.69,1.36,0.13,87346.0,84077807.91,2.72,9.72,9.46,9.52,9.56,1.47,1.65,61.66,3.16,5141991475.0,5126852662.0,0.0,0.31,-10.69,-10.69
293,300972,万辰集团,32.1,1.36,0.43,5550.0,17720212.0,2.94,32.45,31.52,31.92,31.67,1.23,0.74,-65.85,5.54,4965681637.0,2419432597.0,-0.5,-0.28,-11.33,-14.49
295,301366,一博科技,30.65,1.36,0.41,43998.0,136595036.71,6.75,31.93,29.89,30.16,30.24,2.56,8.05,46.27,2.14,4597500031.0,1675742070.0,0.13,-0.29,-7.01,-8.15
297,300378,鼎捷软件,20.2,1.35,0.27,61815.0,124420127.43,2.71,20.34,19.8,19.85,19.93,0.95,2.31,83.54,2.8,5440030286.0,5405245886.0,-0.25,-0.3,-7.13,-5.21
312,301017,漱玉平民,14.92,1.29,0.19,17457.0,25867448.12,1.9,14.98,14.7,14.81,14.73,1.15,1.6,28.02,2.77,6047677321.0,1630760521.0,0.0,-0.13,-24.3,-26.97
316,301153,中科江南,70.83,1.27,0.89,13532.0,96672201.2,4.16,72.5,69.59,69.88,69.94,1.69,1.18,54.98,8.23,13769352000.0,8100930512.0,0.03,-0.1,-8.17,-9.51
323,300036,超图软件,17.7,1.26,0.22,111268.0,197270027.54,3.32,17.98,17.4,17.46,17.48,1.92,2.57,48.3,2.9,8721969121.0,7658662224.0,-0.23,-0.39,-12.38,-15.31
324,300171,东富龙,16.19,1.25,0.2,38351.0,61572066.0,3.31,16.34,15.81,15.9,15.99,1.12,0.69,15.83,1.57,12316939803.0,9037186845.0,-0.25,-0.61,-9.5,-10.01
325,300151,昌红科技,16.28,1.24,0.2,22203.0,36121504.48,1.68,16.39,16.12,16.13,16.08,0.65,0.6,128.67,5.49,8669233268.0,6008532420.0,-0.18,0.06,-8.8,-11.43
332,301327,华宝新能,60.53,1.22,0.73,8312.0,51090376.2,4.33,62.77,60.18,60.18,59.8,2.56,2.4,-91.35,1.23,7554144000.0,2096406068.0,-0.12,-0.3,-5.16,-20.77
342,300358,楚天科技,10.19,1.19,0.12,64268.0,65036975.0,2.38,10.26,10.02,10.02,10.07,1.01,1.22,15.7,1.29,6015181191.0,5386620406.0,-0.1,-0.29,-4.32,-4.77
345,300792,壹网壹创,20.45,1.19,0.24,21722.0,44393081.66,2.72,20.65,20.1,20.21,20.21,1.54,1.04,32.19,1.73,4877299887.0,4268652263.0,-0.2,-0.1,-22.04,-14.69
